Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Restaurants,"The Saddle Peak Lodge in Calabasas, Calif. still serves this bird the classic way, ""under glass""",pheasant,Lt. Commander Alan Echt,False,False,$100,False,9,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
3-Letter Words,"It follows Q—or precedes ""of the iceberg""",tip,Lt. Commander Alan Echt,False,False,$100,False,12,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
July 1993,Rev. Jesse Jackson was among over 20 arrested during a protest to make this district a state,District of Columbia,Lt. Commander Alan Echt,False,False,$200,False,14,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Famous Women,"Mark Hamill calls this novelist & ""Star Wars"" co-star ""The Wicked Wit of the West""",Carrie Fisher,Lt. Commander Alan Echt,False,False,$200,False,2,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
U.S.A.,Palisades Interstate Park is in N.Y. & this state,New Jersey,Dave Osborne,False,False,$200,False,23,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Inventions,Walter Hunt's invention of this in 1849 made diaper fastening a cinch,safety pin,Lt. Commander Alan Echt,False,False,$200,False,5,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Restaurants,"In 1993 this TV comedienne & her husband Tom opened their Big Food Diner near their farm in Eldon, Iowa",Roseanne Arnold,Barbara Elem,False,False,$200,False,10,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
3-Letter Words,"A long, fixed bench with a back that holds church ladies, men & kids",pew,Dave Osborne,False,False,$200,False,16,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
July 1993,"This country announced plans for its first all-race general election to be held on April 27, 1994",South Africa,Dave Osborne,False,False,$300,False,15,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Famous Women,"This young country singer's friends call her ""Wy"" for short —wy  not?",Wynonna Judd,Dave Osborne,False,False,$300,False,3,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
U.S.A.,All of these in Maryland are artificially created & Deep Creek is the largest,lakes,,True,False,$300,False,26,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Inventions,Cooking hasn't been the same since the development of this by Percy Spencer & Raytheon in 1947,microwave oven,Lt. Commander Alan Echt,False,False,$300,False,6,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Restaurants,"Established in 1760, the Half Way House is halfway between Richmond & Petersburg in this state",Virginia,Dave Osborne,False,False,$300,False,11,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
3-Letter Words,This animal's name is also slang for a jazz musician,cat,Lt. Commander Alan Echt,False,False,$300,False,17,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
July 1993,"Robert Rota, who operated this for the House of Representatives, pleaded guilty to embezzlement",Post Office,Dave Osborne,False,False,$400,False,24,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Famous Women,American-born Lisa Halaby met this king while working for Royal Jordanian Airlines; they married in 1978,King Hussein,Dave Osborne,False,False,$400,False,20,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
U.S.A.,"In the 1850s this ""New"" Massachusetts city was the whaling capital of the world",New Bedford,Dave Osborne,False,False,$400,False,27,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Inventions,In 1879 James Ritty invented this machine to record sales; the money drawer came later,cash register,Barbara Elem,False,False,$400,False,7,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Restaurants,"Move over, Baskin-Robbins; NYC's Russian Tea Room serves 31 varieties of this potent potable",vodka,,True,False,$400,False,29,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
3-Letter Words,"When Rip van Winkle woke up, his dog was gone & oh, shoot, this was rusted",gun,Dave Osborne,False,False,$400,False,18,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
July 1993,He was fired as director of the F.B.I.,(William) Sessions,Dave Osborne,False,False,$500,False,25,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Famous Women,"Great Russian ballerina who choreographed the 1918 ballet ""Autumn Leaves""; she played a chrysanthemum",Anna Pavlova,,True,False,$500,False,21,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
U.S.A.,"U.S. Highway 26, offers close-up views of this mountain, Oregon's highest point",Mount Hood,,False,False,$500,True,28,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Inventions,"While studying earthquakes in Japan, John Milne invented this instrument for recording them",seismograph,Lt. Commander Alan Echt,False,False,$500,False,8,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Restaurants,"Oprah Winfrey co-owns The Eccentric in this city, & Oprah's potatoes are featured on the menu",Chicago,Dave Osborne,False,False,$500,False,30,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
3-Letter Words,"Kipling wrote, ""Till the devil whispered behind the leaves, 'it's pretty, but is it'"" this",art,Barbara Elem,False,False,$500,False,19,Show #2078,"Wednesday, September 22, 1993",Jeopardy! Round
Psychology,A person suffering from hypersomnia does this more than most people,sleep,Dave Osborne,False,False,$200,False,16,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Sports,"When she retired in 1989, this American sprinter held world records at 100 meters & 200 meters",Florence Griffith Joyner,Dave Osborne,False,False,$200,False,5,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
History,"When she was about 16, the ""voices"" told her to aid the dauphin",Joan of Arc,Dave Osborne,False,False,$200,False,10,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Fabrics,A fabric that's a different color on each side is named for this 2-faced god we think about in January,Janus,Dave Osborne,False,False,$200,False,15,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
World Geography,"In Egypt & Sudan, this river is known as Bahr el-Nil",Nile,Barbara Elem,False,False,$200,False,26,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Authors,"She published her 1931 book ""Stuffed Shirts"" under her first married name, Claire Boothe Brokaw",Claire Boothe Luce,Lt. Commander Alan Echt,False,False,$200,False,1,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Psychology,Stress management programs try to help personality types identified by this letter,A,Dave Osborne,False,False,$400,False,17,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Sports,"In 1989 Tom Kite earned $1,395,278—this sport's all-time single-season record",golf,Dave Osborne,False,False,$400,False,6,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
History,Prince Charles John combined the crown of Sweden with this country's in 1814,Norway,Lt. Commander Alan Echt,False,False,$400,False,11,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Fabrics,"Mirror, panne & crushed are 3 types of this fabric",velvet,Dave Osborne,False,False,$400,False,22,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
World Geography,Important ports on this bay include Calcutta & Madras,Bay of Bengal,,True,False,$400,False,27,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Authors,"In the 1970s he changed his middle name to Cruz, the surname of his Pueblo Indian grandmother",Martin Cruz Smith,Lt. Commander Alan Echt,False,False,$400,False,2,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Psychology,"From the Greek ""sanctuary"", it's an institution for the care of the mentally ill",asylum,,True,False,$600,False,18,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Sports,It's the nickname of former heavyweight boxing champ James Douglas,Buster,Dave Osborne,False,False,$600,False,7,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
History,By sailing through it in 1770 this British captain proved a strait separated Australia from New Guinea,Cook,Lt. Commander Alan Echt,False,False,$600,False,12,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Fabrics,"This sleek fabric's name is derived from Zaytun, a medieval name for the port of Canton, China",batten,Barbara Elem,False,False,$600,False,23,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
World Geography,Pakistan is responsible for the defense of this 33-mile-long pass in the Safedkoh Range,Khyber Pass,Lt. Commander Alan Echt,False,False,$600,False,28,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Authors,"He co-wrote the screenplay for ""The Great Escape"" the year after he published ""King Rat""",(James) Clavell,Lt. Commander Alan Echt,False,False,$600,False,3,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Psychology,"It's the ""principle"" by which the id operates",pleasure,Barbara Elem,False,False,$800,False,19,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Sports,"Joe Paterno leads all active Div. 1-A college football coaches with close to 250 victories, all with this school",Penn State,Dave Osborne,False,False,$800,False,8,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
History,In 1990 Goh Chok Tong replaced Lee Kuan Yew & became this city-state's second P.M.,Singapore,,False,False,"$2,000",True,13,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Fabrics,Tulle is named for a city in this country where it was first made in the early 1800s,France,Barbara Elem,False,False,$800,False,24,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
World Geography,The Russian-Ukrainian Kerch Strait connects the Sea of Azov with this sea,Black Sea,,True,False,$800,False,29,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Authors,"This novelist dedicated ""The Loved One"" to his fellow author Nancy Mitford",Evelyn Waugh,Dave Osborne,False,False,$800,False,4,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Psychology,This Swiss psychoanalyst gave us the term collective unconscious...or maybe we had it all along,(Carl Gustav) Jung,Dave Osborne,False,False,$1000,False,20,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Sports,This former baseball commissioner is a distant relative of frontiersman Jim Bowie,Bowie Kuhn,Dave Osborne,False,False,$1000,False,9,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
History,"The second daughter of James II, she became British queen in 1702 & reigned for 12 years",Anne,Barbara Elem,False,False,$1000,False,14,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Fabrics,"Dimity, which oten has a checked or striped pattern woven into it, is a type of this fabric",cotton,Barbara Elem,False,False,$1000,False,25,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
World Geography,It's the largest river flowing into the Adriatic Sea,Po,,False,False,$600,True,30,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
Authors,"Her satirical novel ""The Groves of Academe"" appeared 11 years before ""The Group""",Mary McCarthy,Barbara Elem,False,False,$1000,False,21,Show #2078,"Wednesday, September 22, 1993",Double Jeopardy! Round
U.S. Cities,"It's sometimes referred to as ""The Big Apple""",New York,Tim Sheehan,False,False,$100,False,9,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Emmy Awards,"This ""Evening Shade"" star joked that he was going to mount his Emmy on the hood of his Mercedes",Burt Reynolds,Dave Osborne,False,False,$100,False,1,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Graphic Arts,"Types of these include dip, fountain & felt-tip",pens,Tim Sheehan,False,False,$100,False,14,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Heart,At rest the average heart pumps 5 quarts of this each minute,blood,Chuck Geneslaw,False,False,$100,False,5,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Flags,This country's flag was originally a sea flag for the Shogun of the House of Tokugawa,Japan,Dave Osborne,False,False,$100,False,15,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Italian 101,Svizzera is the Italian name for this country,Switzerland,Dave Osborne,False,False,$100,False,24,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
U.S. Cities,"Chartered on Feb. 23, 1822, it was the first Massachusetts town to become a city",Boston,Tim Sheehan,False,False,$200,False,10,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Emmy Awards,"In 1982 & 1983 the TV Academy ""hailed"" Carol Kane & Christopher Lloyd for their roles on this sitcom",Taxi,Dave Osborne,False,False,$200,False,2,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Graphic Arts,1 of the 4 colors used in the four-color printing process,"(1 of)  red (blue, yellow & black)",Tim Sheehan,False,False,$200,False,16,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Heart,This small electronic device is sometimes implanted to stimulate the heart to beat properly,pacemaker,Chuck Geneslaw,False,False,$200,False,6,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Flags,"Flags of the United Kingdom, Transvaal & the Orange Free State appear on this country's flag",South Africa,Tim Sheehan,False,False,$200,False,17,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Italian 101,"""Ha dei bambini?"" means ""Do you have"" any of these",babies (children),Tim Sheehan,False,False,$200,False,26,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
U.S. Cities,Among the tourist sites in this city are Beehive House & the Seagull Monument in Temple Square,Salt Lake City,Chuck Geneslaw,False,False,$300,False,11,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Emmy Awards,"Of Marion Lorne, Agnes Moorehead or Elizabeth Montgomery, the one who won an Emmy for ""Bewitched""",Marion Lorne,,True,False,$300,False,3,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Graphic Arts,"Drafting is also known as this type of ""drawing"" & it uses a special pencil",mechanical drawing,Tim Sheehan,False,False,$300,False,19,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Heart,This explosive is used to reduce the chest pains called angina pectoris,nitroglycerin,Dave Osborne,False,False,$300,False,7,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Flags,The coat of arms on this British crown colony's flag features 2 Chinese junks,Hong Kong,Dave Osborne,False,False,$300,False,18,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Italian 101,"If you want your pesce (fish) cooked this way, ask for it ""fritto""",fried,Tim Sheehan,False,False,$300,False,27,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
U.S. Cities,Among those buried in this city's Greenmount Cemetery are Johns Hopkins & John Wilkes Booth,Baltimore,Dave Osborne,False,False,$400,False,12,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Emmy Awards,"Bebe Neuwirth, a 1986 Tony winner for ""Sweet Charity"", won 2 Emmys for playing Lilith on this sitcom",Cheers,Chuck Geneslaw,False,False,$400,False,4,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Graphic Arts,This process of changing the details on a photograph can now be done on a computer,touch-up (retouch),Tim Sheehan,False,False,$400,False,25,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Heart,"The relaxing & filling phase of the heart is the diastole; the contracting & pumping phase, this",systole,Chuck Geneslaw,False,False,$400,False,22,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Flags,The emblem on this country's flag depicts the Aztec legend of the founding of its capital,Mexico,Tim Sheehan,False,False,$400,False,20,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
Italian 101,"Italians don't capitalize the names of these 7, ranging from lunedi to domenica",days of the week,Tim Sheehan,False,False,$400,False,28,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
U.S. Cities,This Ohio city's Fountain Square includes a fountain cast by the Royal Bronze Foundry of Bavaria,Cincinnati,,True,False,$500,False,13,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Emmy Awards,"This TV ""Golden Girl"" was nominated for the first ""Best Actress"" Emmy in 1950 but lost to Gertrude Berg",Betty White,,True,False,$500,False,8,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Graphic Arts,To crop is to trim the edge of a picture; this is to extend the picture to the edge of a page,bleed,Chuck Geneslaw,False,False,$500,False,30,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
The Heart,In 1785 William Withering introduced this heart drug in the form of foxglove leaves,digitalis,Chuck Geneslaw,False,False,$500,True,23,Show #2079,"Thursday, September 23, 1993",Jeopardy! Round
